#,"Country,other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
101,Maldives,"10,567",,34 ,,"9,427",,"1,106",12,"19,460",63,"150,743","277,606","543,011 "
102,French Guiana,"10,057",,68 ,,"9,710",,279,4,"33,450",226,"67,833","225,615","300,658 "
103,Tajikistan,"9,974",,78 ,,"8,794",,"1,102",,"1,040",8,,,"9,592,672 "
104,Mozambique,"9,296",,66 ,,"6,104",,"3,126",,295,2,"1,446,106","45,940","31,478,070 "
105,Georgia,"9,245",+549,58 ,+4,"4,887",+268,"4,300",,"2,319",15,"679,169","170,341","3,987,118 "
106,Uganda,"8,965",,82 ,,"5,078",,"3,805",,194,2,"493,595","10,706","46,105,806 "
107,Luxembourg,"8,925",,127 ,,"7,793",,"1,005",2,"14,198",202,"856,798","1,362,976","628,623 "
108,Haiti,"8,827",,229 ,,"6,992",,"1,606",,772,20,"28,916","2,528","11,438,886 "
109,Gabon,"8,808",,54 ,,"8,135",,619,3,"3,934",24,"185,889","83,016","2,239,196 "
110,Zimbabwe,"7,898",,228 ,,"6,424",,"1,246",,529,15,"160,162","10,735","14,919,287 "
111,Mauritania,"7,523",,162 ,,"7,204",,157,3,"1,607",35,"81,120","17,330","4,680,832 "
112,Jamaica,"7,012",,120 ,,"2,635",,"4,257",12,"2,365",40,"81,132","27,367","2,964,592 "
113,Slovenia,"6,573",,156 ,,"4,314",,"2,103",26,"3,162",75,"237,545","114,258","2,079,014 "
114,Cabo Verde,"6,433",,68 ,,"5,524",,841,,"11,538",122,"87,076","156,171","557,570 "
115,Cuba,"5,845",,123 ,,"5,232",,490,1,516,11,"651,035","57,488","11,324,770 "
116,Malawi,"5,794",,180 ,,"4,541",,"1,073",4,301,9,"54,472","2,829","19,256,143 "
117,Eswatini,"5,579",,112 ,,"5,141",,326,11,"4,796",96,"45,325","38,962","1,163,316 "
118,Angola,"5,530",,199 ,,"2,591",,"2,740",16,167,6,"85,213","2,572","33,124,688 "
119,Guadeloupe,"5,528",,57 ,,"2,199",,"3,272",24,"13,815",142,"55,187","137,919","400,142 "
120,Djibouti,"5,421",,61 ,,"5,352",,8,,"5,466",62,"78,079","78,729","991,743 "
121,Lithuania,"5,285",,94 ,,"2,497",,"2,694",,"1,949",35,"801,362","295,494","2,711,942 "
122,Nicaragua,"5,170",,151 ,,"2,913",,"2,106",,778,23,,,"6,645,180 "
123,Hong Kong,"5,125",,105 ,,"4,864",,156,11,682,14,"3,311,279","440,740","7,513,000 "
124,Congo,"5,089",,89 ,,"3,887",,"1,113",,916,16,,,"5,552,838 "
125,Equatorial Guinea,"5,045",,83 ,,"4,879",,83,4,"3,566",59,"60,916","43,062","1,414,597 "
126,Suriname,"4,954",,106 ,,"4,755",,93,6,"8,425",180,"14,770","25,118","588,014 "
127,Rwanda,"4,867",,29 ,,"3,226",,"1,612",,373,2,"506,658","38,871","13,034,340 "
128,CAR,"4,845",,62 ,,"1,914",,"2,869",2,999,13,"32,263","6,650","4,851,534 "
129,Trinidad and Tobago,"4,767",,82 ,,"2,884",,"1,801",14,"3,403",59,"32,474","23,184","1,400,691 "
130,Bahamas,"4,452",,96 ,,"2,375",,"1,981",96,"11,293",244,"21,592","54,770","394,231 "
131,Syria,"4,411",,207 ,,"1,168",,"3,036",,250,12,,,"17,609,496 "
132,Réunion,"4,328",,16 ,,"3,360",,952,17,"4,825",18,"35,419","39,486","896,997 "
133,Aruba,"4,094",,31 ,,"3,612",,451,12,"38,302",290,"32,982","308,572","106,886 "
134,Mayotte,"3,892",,42 ,,"2,964",,886,2,"14,178",153,"13,000","47,359","274,501 "
135,Somalia,"3,745",,99 ,,"3,010",,636,,234,6,,,"16,005,981 "
136,Sri Lanka,"3,733",+220,13 ,,"3,259",,461,,174,0.6,"298,501","13,925","21,437,046 "
137,Estonia,"3,617",,67 ,,"2,755",,795,2,"2,726",50,"221,992","167,317","1,326,773 "
138,Thailand,"3,600",+10,59 ,,"3,390",,151,1,52,0.8,"749,213","10,727","69,846,526 "
139,Gambia,"3,594",,115 ,,"2,226",,"1,253",,"1,477",47,"17,472","7,179","2,433,927 "
140,Malta,"3,327",,39 ,,"2,770",,518,,"7,530",88,"265,630","601,170","441,855 "
141,Mali,"3,189",,131 ,,"2,482",,576,,156,6,"56,337","2,762","20,398,911 "
142,Guyana,"3,188",,90 ,,"1,972",,"1,126",14,"4,048",114,"15,078","19,145","787,557 "
